,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
121,p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,,72r,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,
122,p450_l27_o02,04v,amplio ,dilato,S22,F2,,,,72r,Amplio ,p450_l27_o02_a,amplifico,S22,F2,normal,p450_l27_o02_b,S54,F3
123,p451_l01_o03,04v,lanio,lacero /disrũpo ,S22,F3,,,,72r,Lanio ,p451_l01_o03_a,lacero,S22,F2,normal,p451_l01_o03_b,S54,F4
124,p451_l02_o05-06,04v,per apocopã ,ꝑ ablacionẽ  ,S22,F3,,,,72r,ꝑ apocopã ,p451_l02_o05-06_a,ꝑ abscisione litterę,S22,F3,normal,,,
125,p451_l04_o10,04v,priuatũ,aliena,S22,F2,,,,72r,priuatũ ,p451_l04_o10_a,alienatũ ł fraudatũ,S22,F3,normal,,,
126,p451_l08_o04,04v,ambio,circumeo/cupio,S22,F3,,,,72r,Ambio ,p451_l08_o04_a,c̃cumeo,S22,F2,normal,,,
127,p451_l08_o08,04v,sancio,iudico,S22,F2,,,,72r,sancio ,p451_l08_o08_a,iudico diffinio,S22,F3,normal,,,
128,p451_l08_o10,04v,sarcio,c̃stringo,S22,F2,,,,72r,sartio ,p451_l08_o10_a,instauro,S22,F2,normal,,,
129,p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,,72r,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,
130,p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,,72r,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,
131,p451_l09_o08,04v,erudio,doceo,S22,F2,,,,72r,erudio ,p451_l09_o08_a,doceo,S22,F2,normal,,,
132,p451_l10_o01,04v,uagio,ploro,S22,F2,,,,72r,uagio ,p451_l10_o01_a,+++ ͤ? INFAN ͭ ͧ ͫ EST uagire,S23,F4,normal,,,
133,p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,,72r,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,
134,p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,,72r,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,
135,p451_l10_o09,04v,redimio,decoro cõpono orno,S22,F3,,,,72r,redimio ,p451_l10_o09_a,corono ł como,S22,F3,normal,,,
136,p451_l10_o10,04v,exinanio,exuacuo,S22,F2,,,,72r,exinanio ,p451_l10_o10_a,euacuo,S22,F2,normal,,,
137,p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,,72r,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,
138,p451_l11_o09,05r,Grunnio,murmuro,S22,F2,,,,72r,munio ,p451_l11_o09_a,defendo,S22,F2,normal,,,
139,p451_l11_o10,05r,munio,defendo,S22,F2,,,,72r,punio ,p451_l11_o10_a,dãno ł ulciscor,S22,F3,normal,,,
140,p451_l12_o01,05r,Sepio,circũdo,S22,F2,,,,72r,sępio ,p451_l12_o01_a,circũdo,S22,F2,normal,,,
141,p451_l12_o02,05r,Sopio,dormio,S22,F2,,,,72r,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,
142,p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,,72r,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,
143,p451_l12_o05,05r,Aperio,manifesto,S22,F2,,,,72r,aperio ,p451_l12_o05_a,resero,S22,F2,normal,,,
144,p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,,72r,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,
145,p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F3,,,,72r,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,
146,p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,,72r,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,
147,p451_l13_o04,05r,Inretio,inligo,S22,F2,,,,72r,irretio ,p451_l13_o04_a,inlaqueo,S22,F2,normal,,,
148,p451_l14_o02,05r,blandior,lenior,S22,F2,,,,72r,blandior ,p451_l14_o02_a,adulor,S22,F2,normal,,,
149,p451_l14_o04,05r,ordior,incipio,S22,F2,,,,72r,ordior ,p451_l14_o04_a,incipio,S22,F2,normal,,,
150,p451_l14_o08,05r,sortior,ĩ accipio,S22,F2,,,,72r,sortior ,p451_l14_o08_a,accipio,S22,F2,normal,,,
151,p451_l15_o01,05r,Partior,Diuido & secor,S22,F3,,,,72r,partior ,p451_l15_o01_a,diuido,S22,F2,normal,,,
152,p451_l21_o06,05r,elitio,expͥmo /seduco,S22,F3,,,,72r,elicio ,p451_l21_o06_a,extorqueo ł exprimo,S22,F3,normal,,,
153,p451_l21_o07,05r,inlitio,seduco ł ereo,S22,F3,,,,72r,inlicio ,p451_l21_o07_a,seduco,S22,F2,normal,,,
154,p451_l21_o08,05r,pellitio,in fraudũ duco.,S23,F3,,,,72r,pellicio ,p451_l21_o08_a,decipio,S22,F2,normal,p451_l21_o08_b,S24,F4
155,p451_l21_o09,05r,interfitio,occido,S22,F2,,,,72r,int̃ficio ,p451_l21_o09_a,int̃imo occido,S22,F3,normal,p451_l21_o09_b,S22,F2
156,p451_l21_o10,05r,offitio,noceo,S22,F2,,,,72r,officio ,p451_l21_o10_a,noceo,S22,F2,normal,,,
157,p451_l22_o04,05r,orior,nascor,S22,F2,,,,72r,orior ,p451_l22_o04_a,nascor,S22,F2,normal,,,
158,p451_l23_o05,05r,potior,utor,S22,F2,,,,72r,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,
