Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
equatio,,,,p̃portio,proportio,9r,14,b,Β,Τ2,P0,F2,S22,,,
exhibitio,,,,adtributio,,9r,14,c,A,Τ1,P0,F2,S22,,,
obseruatio,,,,custodia,,9r,14,d,A,Τ1,P0,F2,S22,,,
obiurgatio,,,,increpatio,,9r,16,,A,Τ1,P0,F2,S22,,,Obrigatio caretio. induratio ł congelatio. fultor sustentator; 
bellator,,,,seruat᷑,seruatur consonans,9r,17,a,Β,Τ2,P0,F2,S22,,,
fultor,,,,sustentator,,9r,17,b,Β,Τ2,P0,F2,S22,,,
fultrix,,,,adminiculatrix,,9r,17,c,A,Τ1,P0,F2,S22,,"*adminiculatrix est cupiditas uel amor carnalis, symoniam uidetur facere, uel saltem turpem contractum.",
victor,,,,discipuli,,9r,18,a,Β,Τ2,P0,F2,S22,,*Sanctus Victor discipulus,
petitor,,,,a petendo,,9r,18,b,A,Τ1,P0,F3,S54,,,
ab eo,,,,ipsũ documentũ  ,ipsum documentum,9r,20,a,A,Τ1,P0,F3,S53,,,
doctrina,,,,sapientia,,9r,20,b,Β,Τ2,P0,F2,S22,,,
tonsor,,,,ꝗ aliꝗd tondit,qui aliquid tondit,9r,20,c,Β,Τ2,P0,F4,S54,,,
tonstrina,,,,ipsa res ł domus,ipsa res uel domus,9r,21,a,A,T1,P0,F2,S23,,,
textrina,,,,offitiale nom̃,,9r,21,b,A,T1,P0,F3,?,,*nom d’un métier,
optatiuus,,,,desideratiuus,,9r,22,a,Β,Τ2,P0,F2,S22,,,
subtilitiuus,,,,subiectiuus,,9r,22,b,Β,Τ2,P0,F2,S22,,,
mutatione,,,,c̃uersione,,9r,24,,Β,Τ2,P0,F2,S22,,,
uisio,,,,ꝑspicuitas.,perspicuitas,9r,25,,Β,Τ2,P0,F2,S22,,,
iussor,,,,ꝗ imperit,qui imperit,9v,1,a,A,T1,P0,F4,S23,,,
suasor,,,,adortator,,9v,1,b,Β,Τ2,P0,F2,S22,,,
pransor,,,,epulator,,9v,1,c,A,T1,P0,F2,S22,,,
lusor,,,,ioculatores,,9v,2,a,Β,Τ2,P0,F2,S22,,,
uisibilis,,,,que uidet᷑,que uidetur,9v,2,b,Β,Τ2,P0,F4,S23,,,
plausibilis,,,,ꝑuissibilis,prouisibilis,9v,2,c,Β,Τ2,P0,F2,S22,,,plausibilis. popularis uulgaris
passibilis,,,,mutabilis,,9v,3,a,Β,Τ2,P0,F2,S22,,,
sensibilis,,,,ꝗ potest sentiri,qui potest sentiri,9v,3,b,A,T1,P0,F4,S23,,,
missibilis,,,,aptis ad mittendũ ,aptis ad mittendum,9v,3,c,A,T1,P0,F3,S23,,,
flatilis,,,,qui◌̾ sub÷ flabilis ł inanis,qui bu est flabilis uel inanis,9v,3,d,Β,Τ2,P0,F3,S23,,,
fictilis,,,,cõpossibilis,compossibilis,9v,3,e,Β,Τ2,P0,F2,S22,,,
altilis,,,,++++ ł saginatus,uel saginatus,9v,4,a,Β,Τ2,P0,F2,S22,,,Altilis. studiose saginatꝰ
scriptilis,,,,abilis ad scribendũ ,abilis ad scribendum,9v,4,b,A,T1,P0,F3,S23,,,
tortilis,,,,funis,,9v,4,c,Β,Τ2,P0,F2,S22,,,Tortilis. qͥ torqui.er. potest
aduectitius,,,,deportatitius,,9v,5,a,A,T1,P0,F2,S22,,,
commentatitius,,,,ex cogitatiuus ł ,excogitatus uel ,9v,5,b,Β,Τ2,P0,F2,S22,,,
commentatitius,,,,argum̃tatiuus,argumentatiuus,9v,5,c,A,T1,P0,F2,S22,,,
statio,,,,ipsa res,,9v,6,a,Β,Τ2,P0,F2,S22,,,
cedo,,,,diuido,,9v,6,b,A,T1,P0,F2,S22,,,
rupes,,,,saxe,,9v,9,a,Β,Τ2,P0,F2,S22,,,
ambigo,,,,dubito,,9v,9,b,A,T1,P0,F2,S22,,,
ambages,,,,dubietates,,9v,10,,A,T1,P0,F2,S22,,,Ambages uerboꝝ circuitꝰ fermonũ ꝑplexitas;
diriuatiue,,,, dct̃r᷑ a uerƀ,quia ducuntur a uerbis,9v,13,,Β,Τ2,P0,F4,S521,,,
amandus,,,,dignꝰ amari,dignus amari,9v,14,,Β,Τ2,P0,F3,S23,,,
,mihi nom̃ ++ inđ erit/ uer?um,,,,mihi nomen +++dus erit/ver ?um ?,9v,14,,A,T1,P1 left,F4,S72,,,
in accidentib; ,in accidentibus,,,in adiectiuis,in adiectiuis,9v,18,,Β,Τ2,P0,F3,S22,,,
uocabulis,,,,nominib;,nominibus,9v,19,,Β,Τ2,P0,F2,S22,,,
pictura,,,,immago,,9v,20,,Β,Τ2,P0,F2,S22,,,
censura,,,,res ad iudicatio,,9v,21,a,A,T1,P0,F2,S23,,,Censura decus. seueritas. honor iuditia ł
litura,,,,linitio,,9v,21,b,A,T1,P0,F2,S22,,,
miniculo,,,,ausilio,,9v,24,a,A,T1,P0,F2,S22,,,
repperire,,,,inuenire,,9v,24,b,A,T1,P0,F2,S22,,,
conten/tus,,,,suffitiens,,10r,14,,A,T1,P0,F2,S22,,,
temtabo,,,,p,temptabo,10r,17,,m0,T0,P0,F1,S611,,,
ostendere,,,,manifestare,,10r,21,,A,T1,P0,F2,S22,,,
mere,,,,iđ pure,id est pure ,10v,2,a,A,T1,P0,F2,S22,,,
nomibus,,,,ni,nominibus,10v,2,b,A,T1,P0,F1,S611,,,
propriis,++++modi uerbis +propriis,,,,,10v,3,,AB,,P1 right,F4,S53,,,
accidentibus,erit huiusmodi uer.,,,,,10v,4,a,,,P1 left,F2,S53,,,
accidentibus,,,,ĩadiectiuis,id est adiectiuis,10v,4,b,A,T1,P0,F3,S22,,,
superuacua,,,,suꝑflua,superflua,10v,6,a,A,T1,P0,F2,S22,,,
traductio,,,,deriuacio,deriuacio,10v,6,b,B,T2,P0,F2,S22,,,
clementia,,,,misericordia,,10v,9,a,3,,P0,F2,S22,,,
dementia,,,,insania,,10v,9,b,A,T1,P0,F2,S22,,,
sollertia,,,,prudentia sagacitas,,10v,9,c,A,T1,P0,F2,S22,,,
inertia,,,,pigritia ł stultitia,pigritia uel stultitia,10v,9,d,A,T1,P1 left,F2,S22,,,
acredo ,,,,acerbitas,,10v,11,a,3,,P0,F2,S22,,,
seueritas,,,,crudelitas,,10v,11,b,A,T1,P0,F2,S22,,,
hospitalitas,,,,receptio hospitũ,receptio hospitum,10v,12,a,3,,P0,F3,S23,,,
paupertas,,,,egestas,,10v,12,b,3,,P0,F2,S22,,,
pene,,,, ñ õnes,quia non omnes ,10v,16,,B,T2,P0,F3,S521,,,
turba,,,,cont᷑bacio,conturbacio,10v,17,,B,T2,P0,F2,S22,,,
predor,,,,deponens uasto,,10v,18,a,AB,,P0,F3,S22 et S331,,,
fuga ,,,,dr̃ fugitiuus,dicitur fugitiuus,10v,18,b,A,T1,P0,F3,S54,,,
fugo,,,,repẽllo ac,repello,10v,18,c,A,T1,P0,F2,S22,,,
stillo,,,,defluo,,10v,19,a,AB,,P0,F2,S22,,,
stipulor,,,,int̃rogo ł inꝗro spondeo,interrogo uel inquiro spondeo,10v,19,b,A,T1,P0,F2,S22,,,
trutina,,,,libra eꝗ lanx,libra aequa lanx,10v,20,a,A,T1,P0,F3,S23,,,Trutina pensa statera mensura
trutino,,,,equo,,10v,20,b,A,T1,P0,F2,S22,,,Trutino. pondero ł ꝓpendo. 
