lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p449_l07_o01,03r,lectito,frequent̃ lego,S23,F3,,,,71v,lectito ,p449_l07_o01_a,frequent̃ lego,S23,F3,normal,,,,p449,73v,lectito ,p449_l07_o01_a,ł lecto freq̃t̃ lego,S23,F3,,,
p449_l07_o08,03r,merso ,frequent̃ mergo,S23,F3,,,,71v,merso ,p449_l07_o08_a,A MERG ͦ VERB ͦ,S54,F3,normal,,,,p449,74r,Merso ,p449_l07_o08_a,a m̃go ũbo,S54,F3,,,
p449_l07_o10,03r,nexo,frequent̃ necto,S23,F3,,,,71v,nexo ,p449_l07_o10_a,frequent̃ necto ID EST ligo,S23,F3,normal,,,,p449,74r,Nexo ,p449_l07_o10_a,nodo ligo freq̃ necto iũgo,S22,F3,,,
p449_l09_o04,03r,eodẽ ,s libro,S3232,F2,,,,71v,eodem ,p449_l09_o04_a,SUBAUD ͥ ͭ ͧ ͬ libro,S3232,F3,normal,,,,p449,74r,eodem ,p449_l09_o04_a,s. libro,S3232,F2,,,
p449_l15_o08,03r,anomala,inequalia,S22,F2,,,,71v,anomala ,,,,,,p449_l15_o08_a,S53,F4,p449,74r,anomala ,p449_l15_o08_a,illegalia scilic&,S22,F2,,,
p449_l17_o03,03r,arbitror,estimor,S22,F2,,,,71v,arbitror ,p449_l17_o03_a,reor  autumo,S22,F3,normal,,,,p449,74r,arbitror ,p449_l17_o03_a,iudico,S22,F2,,,
p449_l17_o05,03r,discerni,diuidi,S22,F2,,,,71v,discerni ,p449_l17_o05_a,distingui,S22,F2,normal,,,,p449,74r,discernũ ,p449_l17_o05_a,distinguo,S22,F2,,,
p449_l18_o01,03r,fatilior,leuior,S22,F2,,,,71v,facilior ,p449_l18_o01_a,planior leuior,S22,F3,normal,,,,p449,74r,facilior ,p449_l18_o01_a,planior leuior.,S22,F3,,,
p449_l19_o13,03v,penitus ,uidelicet omnino.,S22,F3,,,,71v,penitꝰ ,p449_l19_o13_a,funditꝰ,S22,F2,normal,,,,p449,74r,penitus ,p449_l19_o13_a,funditꝰ om̃ino,S22,F3,,,
p449_l20_o06,03v,reboo,ĩ resono.,S22,F2,,,,71v,reboo ,p449_l20_o06_a,resono,S22,F2,normal,p449_l20_o06_b,S53,F5,p449,74r,reboo ,p449_l20_o06_a,resono,S22,F2,,,
p449_l22_o06,03v,reboantq;,&  resonant,S22,F2,,,,71v,reboant ,p449_l22_o06_a,+,S22,F2,shorthand,,,,p449,74r,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
p449_l22_o06,03v,reor ,estimo,S22,F2,,,,71v,reboant ,p449_l22_o06_a,+,S22,F2,shorthand,,,,p449,74r,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
p449_l22_o10,03v,olimpus,nom̃ montis ẽ,S554,F3,,,,71v,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,,p449,74r,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
p449_l22_o10,03v,fateor,loquor /ꝓfiteor,S22,F3,,,,71v,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,,p449,74r,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
p449_l23_o02,03v,inchoo,incipio,S22,F2,,,,71v,inchoo ,p449_l23_o02_a,incipio,S22,F2,normal,,,,p449,74r,inchoo ,p449_l23_o02_a,÷ incipio qͣsi inchao,S22,F3,,,
p449_l23_o09,03v,traductum,d,S611,F1,,,,71v,traductũ ,p449_l23_o09_a,deductũ diriuatũ,S22,F3,normal,,,,p449,74r,traductu ,p449_l23_o09_a,diriuatũ deductũ,S22,F3,,,
p449_l25_o04,03v,(add),ueteres,S611,F2,,,,71v,u&eres ,p449_l25_o04_a,antiquos,S22,F2,normal,,,,p449,74r,ueteres ,p449_l25_o04_a,antiquos actores artiũ disciplinarũ / artiũ scriptores,S23,F3,,,
p449_l26_o11,03v,aliae,+++ c̃. uix,S611,F3,,,,71v,alię ,p449_l26_o11_a,+,S53,F2,shorthand,,,,p449,74r,alię ,p449_l26_o11_a,c̃iugatioñ; ÷ suas ꝓprias terminationes,S53,F3,,,
p449_l28_o05,03v,secunda,s c̃iugatio,S53,F2,,,,71v,scđa ,p449_l28_o05_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,p449_l28_o05_b,S63,F4,p449,74r,scđa ,p449_l28_o05_a,c̃iugatio,S3232,F2,,,
p449_l29_o01,03v,spetialẽ,ꝓpͥã,S22,F2,,,,71v,specialẽ  ,p449_l29_o01_a,PROPRI ͣ ͫ POSSID ͤ ͭ,S53,F4,shorthand,,,,p449,74r,specialẽ. ,p449_l29_o01_a,ꝓpriã,S22,F2,,,
p449_l30_o04,03v,taceo,sileo,S22,F2,,,,71v,taceo ,p449_l30_o04_a,sileo,S22,F2,normal,,,,p449,74r,Taceo ,p449_l30_o04_a,sileo,S22,F2,,,
p449_l30_o09,03v,maneo,habito,S22,F2,,,,71v,moneo ,p449_l30_o09_a,admoneo,S22,F2,normal,,,,p449,74r,Moneo ,p449_l30_o09_a,admoneo ł doceo,S22,F3,,,
p449_l30_o10,03v,stupeo,ãmiror,S22,F2,,,,71v,stupeo ,p449_l30_o10_a,admiror,S22,F2,normal,,,,p449,74r,Stupeo ,p449_l30_o10_a,admiror,S22,F2,,,
p449_l31_o01,03v,censeo,iudico,S22,F2,,,,71v,censeo ,p449_l31_o01_a,iudico,S22,F2,normal,,,,p449,74r,Censeo ,p449_l31_o01_a,iudico,S22,F2,p449_l31_o01_b,S24,F5
p449_l31_o02,03v,pateo,aperio,S22,F2,,,,71v,pateo ,p449_l31_o02_a,aperio,S22,F2,normal,,,,p449,74r,Pateo ,p449_l31_o02_a,aperio,S22,F2,,,
p450_l01_o01,03v,profiteor,affirmo,S22,F2,,,,71v,ꝓfiteor ,p450_l01_o01_a,c̃fiteor,S22,F2,normal,,,,p450,74r,Profiteor ,p450_l01_o01_a,ualde fateor,S23,F3,,,
p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,,71v,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,,p450,74r,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,
p450_l01_o04,03v,notandũ,excipiunt᷑,S22,F2,,,,71v,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,normal,,,,p450,74r,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,,,
p450_l01_o08,03v,beo,bontifico,S22,F2,,,,71v,beo ,p450_l01_o08_a,beatũ facio,S23,F4,normal,,,,p450,74v,beo ,p450_l01_o08_a,beatũ fatio,S23,F3,,,
p450_l01_o09,03v,creo,facio,S22,F2,,,,71v,creo ,p450_l01_o09_a,c̃do,S22,F2,normal,,,,p450,74v,Creo ,p450_l01_o09_a,condo,S22,F2,,,
p450_l02_o01,03v,meo,pergo,S22,F2,,,,71v,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,,p450,74v,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,
p450_l02_o03,03v,nauseo,fastidio,S22,F2,,,,71v,nauseo ,p450_l02_o03_a,fastidio,S22,F2,normal,,,,p450,74v,Nauseo ,p450_l02_o03_a,fastidio,S22,F2,,,
p450_l02_o04,03v,enucleo,aperio,S22,F2,,,,71v,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,,p450,74v,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4
p450_l02_o05,03v,laqueo,ligo,S22,F2,,,,71v,laqueo ,p450_l02_o05_a,irr&io,S22,F2,normal,,,,p450,74v,Laqueo ,p450_l02_o05_a,irretio,S22,F2,p450_l02_o05_b,S23,F5
p450_l02_o06,03v,screo,spuo,S22,F2,,,,71v,screo ,p450_l02_o06_a,spuo,S22,F2,normal,,,,p450,74v,Screo ,p450_l02_o06_a,spuo,S22,F2,p450_l02_o06_b,S54,F5
p450_l05_o06,04r,induo ,uestio,S22,F2,,,,71v,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,,p450,74v,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,
p450_l05_o07,04r,arguo,c̃uto eo rep̃hendo,S23,F3,,,,71v,arguo ,p450_l05_o07_a,increpo/ ostento,S22,F3,normal,,,,p450,74v,Arguo ,p450_l05_o07_a,Rep̃hendo,S22,F2,p450_l05_o07_b,S23,F3
p450_l05_o08,04r,fluo ,dercurro,S22,F2,,,,71v,fluo ,p450_l05_o08_a,mano,S22,F2,normal,,,,p450,74v,Fluo ,p450_l05_o08_a,decurro/mano,S22,F3,,,
p450_l05_o09,04r,polluo,sordo ł sordeo,S22,F3,,,,71v,polluo ,p450_l05_o09_a,c̃taminor,S22,F2,normal,,,,p450,74v,Polluo ,p450_l05_o09_a,contamino : coinqͥno,S22,F3,,,
p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,71v,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,p450,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
