folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,nature,marginal_note_id,marginal_note_type,marginal_note_form
71v,p450_l05_o04,tribuo ,p450_l05_o04_a,dono,S22,F2,normal,,,
71v,p450_l05_o06,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,
71v,p450_l05_o07,arguo ,p450_l05_o07_a,increpo/ ostento,S22,F3,normal,,,
71v,p450_l05_o08,fluo ,p450_l05_o08_a,mano,S22,F2,normal,,,
71v,p450_l05_o09,polluo ,p450_l05_o09_a,c̃taminor,S22,F2,normal,,,
71v,p450_l05_o11,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,
71v,p450_l06_o01,innuo ,p450_l06_o01_a,nũtũ facio,S23,F4,normal,,,
71v,p450_l06_o04,ruo ,p450_l06_o04_a,cado,S22,F2,normal,,,
71v,p450_l06_o05,suo ,,,,,,p450_l06_o05_a,S54,F4
71v,p450_l06_o06,m&uo ,p450_l06_o06_a,timeo,S22,F2,normal,,,
71v,p450_l06_o07,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,
71v,p450_l06_o09,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,
71v,p450_l06_o10,fruor ,p450_l06_o10_a,utor,S22,F2,normal,,,
71v,p450_l08_o01,ratio ,p450_l08_o01_a,regula,S22,F2,normal,,,
71v,p450_l08_o04,qua ,p450_l08_o04_a,SUBAUD ͥ ͭ ͧ ͬ RA ͭ ͥ ͦ ᷠ ͤ,S3232,F2,normal,,,
71v,p450_l08_o08,uacuo ,p450_l08_o08_a,exinanio,S22,F2,normal,,,
71v,p450_l08_o09,uiduo ,p450_l08_o09_a,desero ł orbo,S22,F3,normal,,,
71v,p450_l09_o02,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,
71v,p450_l09_o03,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,
71v,p450_l09_o04,ęstuo ,p450_l09_o04_a,ferueo,S22,F2,normal,,,
71v,p450_l09_o06,mutuor ,p450_l09_o06_a,mutuũ ALTER ͥ? D ͦ?,S23,F4,normal,,,
71v,p450_l10_o09,C̃fusionis ,p450_l10_o09_a,cõmixtionis/ãbiguitatis,S22,F3,normal,,,
71v,p450_l11_o02,discernenadę ,p450_l11_o02_a,distinguendę/discrepandę,S22,F3,normal,,,
72r,p450_l13_o01,illa ,p450_l13_o01_a,VERB ͣ,S3232,F2,shorthand,,,
72r,p450_l13_o02,primę ,p450_l13_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F3,shorthand,p450_l13_o02_b,S53,F4
72r,p450_l13_o05,adherentia ,p450_l13_o05_a,seruientia,S22,F2,normal,,,
72r,p450_l13_o07-09,trissillabis ,p450_l13_o07-09_a,VERBIS,S53,F2,shorthand,,,
72r,p450_l14_o01,pio ,p450_l14_o01_a,mundo,S22,F2,normal,,,
72r,p450_l14_o04,hio ,p450_l14_o04_a,os aperio,S23,F3,normal,,,
72r,p450_l15_o09,sautius ,p450_l15_o09_a,uulneratꝰ,S22,F2,normal,,,
72r,p450_l16_o06,curia ,p450_l16_o06_a,locꝰ ÷ ubi curã antiꝗ exercebant,S23,F4,normal,,,
72r,p450_l16_o07,decurio ,,,,,,p450_l16_o07_b,S23,F5
72r,p450_l17_o01,fiducior ,p450_l17_o01_a,FIDUCI ͣ ͫ HAB ͤ ͦ,S25,F3,shorthand,,,
72r,p450_l17_o03,repudiũ ,p450_l17_o03_a,repulsio ł reꝓbatio,S22,F3,normal,,,
72r,p450_l17_o06,tripudiũ ,p450_l17_o06_a,gaudiũ,S22,F2,normal,,,
