lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p452_l18_o05,06r,gaudeo,letor,S22,F2,,,
p452_l18_o07,06r,presideo,auxilio,S22,F2,,,
p452_l19_o03,06r,remedium,medela,S22,F2,adiutorium,S22,F2
p452_l19_o05,06r,conubium,copulatio uiri et femine,S23,F3,,,
p452_l20_o01,06r,fastidio,nauseo,S22,F2,,,
p452_l20_o04,06r,consulo,,,,consulo te int̃rogo/consulo tibi ĩꝓuideo,S41,F4
p452_l20_o11,06r,consilum,ac̃sulendo dictũ.,S54,F3,,,
p452_l21_o01,06r,obsequor,obedio pareo,S22,F2,,,
p452_l21_o05,06r,domunculo,domũ facio,S23,F3,,,
p452_l21_o06,06r,domicilium,parua casida,S23,F3,,,
p452_l22_o01,06r,solsto ,solstat,S331,F2,,,
p452_l22_o02,06r,solsticium ,Solis stadiũ,S54,F3,,,
p452_l22_o03,06r,iusto ,adsto lucto,S22,F3,,,
p452_l22_o04,06r,iusticium ,luctus publicus,S23,F3,,,
p452_l22_o05,06r,cerno ,sedes,S22,F2,,,
p452_l22_o06,06r,silicernium,senes incuru /Infirmitas senũ,S23,F3,,,
p452_l22_o08-09,06r,ante iculum;,s̃ c̃seruatꝰ consonans positionis,S53,F4,,,
p452_l23_o02,06r,ridiculum,Fraus siue irrisio,S22,F3,,,
p452_l23_o03,06r,perpendo ,Libro / coequo ,S22,F3,ꝑpendiculũ dt᷑ ++ /coequant᷑ maceria,S23,F4
p452_l23_o05,06r,euerso,destruo,S22,F2,,,
p452_l23_o06,06r,euersiculum,euersio,S22,F2,,,
p452_l23_o07,06r,deuerto ,qͣsi at euerto,S221,F3,,,
p452_l24_o01,06r,deuerticulum ,quasi ipsa declinatio,S53,F3,,,
p452_l24_o02,06r,ueo,a ueando,S54,F3,,,
p452_l24_o03,06r,uehiculum,potest di plautrũ ,S22,F4,,,
p452_l24_o04,06r,Pereo,obeo [d?++or ?],S22,F2,,,
p452_l24_o05,06r,periculum,discrim̃,S22,F2,,,
