folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
79v,p457_l09_o04,designabant ,p457_l09_o04_a,illę terminationes diriuatę ab actiuis,S415,F3,,,
79v,p457_l09_o08,Iustitia ,p457_l09_o08_a,ęquitas,S22,F2,,,
79v,p457_l10_o01,Pigritia ,p457_l10_o01_a,inertia tarditas,S22,F3,,,
79v,p457_l10_o02,Miseria ,p457_l10_o02_a,calamitas,S22,F2,,,
79v,p457_l10_o03,clementia ,p457_l10_o03_a,Benignitas,S22,F2,,,
79v,p457_l10_o04,Sollertia ,p457_l10_o04_a,sollicitudo,S22,F2,p457_l10_o04_b,S22,F3
79v,p457_l10_o05,Inertia ,p457_l10_o05_a,stultitia/sine arte,S22,F3,,,
79v,p457_l10_o08-11,"Fortitudo, Pulchritudo, Dulcedo, Acredo ",p457_l10_o08-11_a,Quidã codices/Dulcitudo/Acretudo/Pinguitudo/fortitudo,S62,F3,,,
79v,p457_l11_o04,Pinguedo ,p457_l11_o04_a,crassitudo,S22,F2,,,
79v,p457_l11_o06,Seueritas ,p457_l11_o06_a,asperitas rigor/ł quasi seua ueritas,S25,F3,p457_l11_o06_b,S23,F4
79v,p457_l11_o07,Honestas ,p457_l11_o07_a,decꝰ pulchritudo,S22,F3,,,
79v,f79v_l21_o05,Hospitalitas ,f79v_l21_o05_a,ipsa res,S53,F2,f79v_l21_o05_b,S23,F4
79v,p457_l12_o06,haud ,p457_l12_o06_a,non,S22,F2,,,
79v,p457_l12_o07,facile ,p457_l12_o07_a,sed difficile ⁊ raro,S22,F2,,,
80r,p457_l13_o03,prima ,p457_l13_o03_a,ł is,S611,F2,,,
80r,p457_l13_o04,declinatione ,p457_l13_o04_a,ͣł ę,S611,F2,,,
80r,p457_l14_o08,pene ,p457_l14_o08_a,ideo dixit pene :  non inuenit᷑ .F. .H. .⁊. .Y. .T. in latiNis,S53,F4,,,
80r,p457_l15_o02,pręcedentib; ,p457_l15_o02_a,.s. ante positionẽ ueboꝵ,S23,F3,,,
80r,p457_l15_o05,Turba ,p457_l15_o05_a,multiudo,S22,F2,,,
80r,p457_l15_o06,Turbo ,p457_l15_o06_a,cõmuueo,S22,F2,p457_l15_o06_b,S23,F5
80r,p457_l15_o07,Spica ,,,,,p457_l15_o07_a,S5,F5
80r,p457_l16_o02,Inspico ,p457_l16_o02_a,acuo findo,S22,F3,,,
80r,p457_l16_o05,Pręda ,p457_l16_o05_a,rapina,S22,F2,,,
80r,p457_l16_o06,Prędor ,p457_l16_o06_a,rapio,S22,F2,,,
80r,p457_l16_o09,Fuga ,p457_l16_o09_a,expulsio,S22,F2,,,
80r,p457_l16_o10,Fugo ,p457_l16_o10_a,expello,S22,F2,p457_l16_o10_b,S23,F4
80r,p457_l17_o05,Stipula ,p457_l17_o05_a,qđ remanet pꝰ secationẽ messiũ,S23,F4,p457_l17_o05_b,S23,F4
80r,p457_l17_o06,Stipulor ,,,,,p457_l17_o06_b,S5,F5
80r,p457_l18_o02,Trutina ,p457_l18_o02_a,lanx ł m̃sura,S22,F3,,,
80r,p457_l18_o03,Trutino ,p457_l18_o03_a,ęqualit̃ m̃suro/pondero coęquo,S22,F3,,,
80r,p457_l17_o02,Stilla ,p457_l17_o02_a,gutta,S22,F2,p457_l17_o02_b,S23,F5
80r,p457_l18_o05,Machina ,p457_l18_o05_a,argum̃tũ/ędificium,S22,F3,p457_l18_o05_b,S22,F3
80r,p457_l18_o06,Machinor ,p457_l18_o06_a,excogito argum̃tor/molior,S22,F3,,,
80r,p457_l18_o08,Pugna ,p457_l18_o08_a,bellũ a pug/nis feriendis dr̃,S54,F4,,,
80r,p457_l19_o02,Nundine ,p457_l19_o02_a,mercatũ ł mercationes ł anonis/semꝑ płtr ꝓ̃nuntiantur,S312,F4,,,
80r,p457_l19_o03,Nundinor ,p457_l19_o03_a,mercor,S22,F2,,,
80r,p457_l19_o06,Culpa ,p457_l19_o06_a,ignauia,S22,F2,p457_l19_o06_b,S5,F5
80r,p457_l19_o07,Culpo ,p457_l19_o07_a,rep̃hendo,S22,F2,,,
